,n_cells,highly_variable,highly_variable_rank,means,variances,variances_norm,targeted
CAV2,154933,True,1308.0,1.8737312351222555,4.305971860710714,1.114963388824219,0.0
CAVIN1,168286,True,963.0,2.3760635150692346,6.53805417827674,1.1833406690190984,0.0
CAVIN3,138670,True,957.0,1.4357350236438606,3.111437632592402,1.1846181562224258,0.0
CBR3,78195,True,842.0,0.566480298311677,0.9420672365502497,1.2222370300334384,0.0
CBX4,93971,True,1147.0,0.7063482963119246,1.1701230280921726,1.1411691160664688,0.0
CCDC107,132032,True,1231.0,1.2830429258761529,2.5371017126510007,1.127572196511955,0.0
CCDC168,4032,True,1212.0,0.020534154026794846,0.024735896601425507,1.1308597536063552,0.0
CCDC18,50153,True,1143.0,0.30708123305829094,0.42436359555412756,1.143017744407083,0.0
CCDC71L,86711,True,420.0,0.6545244396336234,1.4309244969263355,1.5404985567928717,0.0
CCDC80,80125,True,513.0,0.6304265068087898,1.2636285426473277,1.4284020812814497,0.0
CCDC85B,163771,True,790.0,2.298394235576328,6.516548796116838,1.241035966563206,0.0
CCK,8610,True,297.0,0.05293381095001995,0.10073152233140659,1.7607046593596736,0.0
CCL2,57689,True,23.0,1.005361721254707,15.683554861111132,9.64133997848695,0.0
CCL20,17628,True,40.0,0.11818719699853687,1.221572437726609,5.783315523647658,0.0
CCL26,19334,True,907.0,0.10537685699477588,0.14090964706289233,1.2012395188452878,0.0
CCL5,2996,True,21.0,0.05645172386906209,0.6331868317660354,10.337603177799146,0.0
CCL8,1621,True,45.0,0.014319327422750393,0.08104214662373473,5.330864166870915,0.0
CCNA1,13011,True,450.0,0.07346337838891513,0.12166593465159234,1.5063129253845404,0.0
CCNA2,82993,True,361.0,0.8066156943864751,1.9819165490456567,1.6225812230690306,0.0
CCNB1,112591,True,89.0,2.5416668577744956,21.128820541730327,3.4462253070170363,0.0
CCNB2,81115,True,215.0,0.9140335829966013,3.0057687222897544,2.090899664364713,0.0
CCND1,214664,True,933.0,12.715429740353258,113.05934210972522,1.193413944411733,1.0
CCND3,111748,True,781.0,1.0055956372375898,2.027378263705567,1.2459355199958848,0.0
CCNE1,35645,True,1106.0,0.20658450558875735,0.27584887712360906,1.1486355428530453,0.0
CCNE2,30116,True,597.0,0.18848582973668399,0.29475922517040176,1.3600734265640215,0.0
CCNF,31063,True,643.0,0.19150839116256244,0.29266123597842614,1.3262041375720657,0.0
CCNL1,76609,True,917.0,0.48246318116563547,0.7576055056430466,1.1987362270306698,0.0
CCPG1,153036,True,505.0,1.9295454232732643,5.790633902593382,1.4354016661657965,0.0
CCR10,848,False,,0.003958225357409862,0.004107693814116406,0.9913156135046066,1.0
CCT3,212860,False,,9.588927059492631,52.67391314665737,0.9266661276285479,1.0
CCT6A,215018,False,,10.396473831222739,54.23364190089911,0.8253062013813235,1.0
CD151,141440,False,,1.3385085333467874,2.226205664482768,0.9341497607504295,1.0
CD163L1,20702,True,343.0,0.13106174923289318,0.24315407573268355,1.6588095364652489,0.0
CD2,583,True,226.0,0.004141688873396414,0.008793722101709565,2.023704144226451,0.0
CD24,32758,True,255.0,0.24349736500525165,0.5511267848295497,1.9192240031309395,0.0
CD274,36150,True,814.0,0.2165511610947268,0.3113654035761193,1.231806888171586,1.0
CD37,564,True,1490.0,0.002742779563998954,0.003056331895373604,1.0906314764583167,0.0
CD3D,850,True,143.0,0.0072926747604654465,0.020045337010864837,2.5888242520513827,0.0
CD3E,522,True,414.0,0.0031372261233700415,0.005007907943693026,1.5464693310031428,0.0
CD44,207948,True,1120.0,6.837180716149835,35.95448743840266,1.1468515506491583,1.0
CD47,158399,False,,1.8167841597600298,3.547371689825999,0.9614396067781936,1.0
CD52,1103,True,128.0,0.009604315061896004,0.02814292132250447,2.765444747466785,0.0
CD55,108534,True,82.0,1.2121067574199527,7.639080306948852,3.6640792646792892,0.0
CD58,78750,True,1581.0,0.5359473826636151,0.7763982845551369,1.0797065550856875,1.0
CD59,175599,True,1986.0,2.554619382003146,6.474440273581661,1.0477097145502605,1.0
CD63,216684,False,,21.046283258495507,230.86905211160138,0.9473400999186428,1.0
CD68,67887,True,1197.0,0.44316070945341635,0.6467318993692861,1.1328739282947005,0.0
CD7,28066,True,295.0,0.19376957899709668,0.3954703411342314,1.7684055121672322,0.0
CD70,667,True,201.0,0.003820627720419948,0.00862198736439184,2.1596818974870735,0.0
CD74,110105,True,44.0,7.108037077976581,180.4090529873813,5.3794755873098055,0.0
CD82,112536,True,854.0,1.0001788769280868,1.9664764432859723,1.2170679895744945,0.0
CD83,11835,True,606.0,0.05915781072986373,0.08702165134985812,1.3526052695499156,0.0
CD8A,762,True,345.0,0.0046691464818577515,0.008133189660322414,1.6519005487669849,0.0
CDA,18367,True,217.0,0.12449375536057461,0.2863872473845397,2.0570288488437845,0.0
CDC123,140843,False,,1.2406078146284634,1.7832228938418242,0.8291650037358395,1.0
CDC20,99708,True,151.0,1.404459080756053,6.357831565415799,2.496504510276578,0.0
CDC25B,105120,True,995.0,0.8823723667252221,1.6104928848710693,1.1726130590715549,0.0
CDC25C,18988,True,805.0,0.1076426314172098,0.14834347776538806,1.2373115539117316,0.0
CDC42EP1,51525,True,921.0,0.3228636820210341,0.4710431638039822,1.1976041505262356,0.0
CDC42EP2,65602,True,1145.0,0.4241676489609085,0.6196645162689741,1.1420326805043428,0.0
CDC42EP3,92831,True,1417.0,0.6901163617350144,1.094412279948342,1.1001429182842744,0.0
CDC45,52303,True,696.0,0.35183715778321034,0.5627336722519798,1.2927735784635475,0.0
CDC6,94715,True,507.0,0.891091470322483,1.9922347195430439,1.4322018963517014,0.0
CDCA2,74717,True,279.0,0.6790397519573264,1.7882538952347649,1.8356464449820822,0.0
CDCA3,29935,True,545.0,0.18992143174927875,0.3046413425651007,1.3935998797737954,0.0
CDCA4,125517,True,833.0,1.3021231315387545,2.8125537651584778,1.225292581358195,0.0
CDCA5,70131,True,826.0,0.5112073275328285,0.8329986556430842,1.228087268675007,0.0
CDCA7,95570,True,1125.0,0.7758213432281323,1.3295195058994869,1.145878097599084,0.0
CDCA8,52519,True,350.0,0.40970613731326855,0.8564720715515761,1.6428460623048013,0.0
CDH11,17304,True,1213.0,0.09197484715195825,0.11547534876603098,1.1308128192886915,0.0
CDH13,54662,True,956.0,0.34858068037444906,0.5099569239060561,1.1846702300010497,0.0
CDH15,510,True,879.0,0.002554729460112738,0.003135300448986418,1.2084059794449404,0.0
CDH2,109647,True,1138.0,0.9258853261293326,1.671540921653419,1.143555598831806,0.0
CDH6,4781,True,624.0,0.02613437785228435,0.03733080602771252,1.3404438859699475,0.0
CDK1,76307,True,210.0,0.8233475670444487,2.64942360794017,2.1112558132936976,0.0
CDK2AP2,101184,True,987.0,0.7897553972673109,1.3958133326091415,1.1750438760002442,0.0
CDK4,140151,False,,1.371256770950387,2.4197709994767638,0.9822189140229381,1.0
CDK5RAP2,135798,True,662.0,1.3971434730560894,3.3153483573278386,1.3113272770070878,0.0
CDK6,120989,True,994.0,1.1019736087732253,2.153953293445799,1.1726923351938672,1.0
CDKN1A,41922,True,296.0,0.2791489127493384,0.5881153572150013,1.7650439581152677,1.0
CDKN1C,2127,True,106.0,0.011961821242323199,0.20038345688218742,3.0516486873731283,0.0
CDKN2A,154735,True,2609.0,1.6475803455535323,3.254337239648448,1.01765748236332,1.0
CDKN2B,43023,True,274.0,0.3066684401473212,0.6829806296257214,1.8424375279380023,1.0
CDKN2C,76521,True,1313.0,0.5241369188219808,0.7795388140164703,1.1144326333811794,0.0
CDKN2D,57769,True,547.0,0.39975782815889777,0.7059337290661911,1.3931395716326056,0.0
CDKN3,148684,True,190.0,3.4551821563384353,22.16782774732581,2.220425947979689,0.0
CDT1,79013,True,1179.0,0.5699156526485252,0.8820186158932586,1.1355907230849371,0.0
CEBPD,48540,True,360.0,0.3504244887101139,0.7029018016824028,1.6226000151659368,0.0
CEMIP,18739,True,204.0,0.1353547955069785,0.3251196858621398,2.148530585757684,0.0
CENPA,56878,True,214.0,0.5368004880129525,1.5087718037498574,2.0940448657751984,0.0
CENPE,66491,True,152.0,0.7025551881189027,2.5323374574791955,2.487103119781975,0.0
CENPF,129365,True,80.0,3.366816953863512,36.18022367648526,3.7790563432695037,0.0
CENPK,104548,True,1144.0,0.9016452090796094,1.613866602439548,1.1426478921860157,0.0
CENPL,53455,True,1270.0,0.329495888123948,0.4516449638712019,1.121542434116745,0.0
CENPM,103647,True,592.0,0.9860521861971224,2.1618916308080083,1.3630633258694136,0.0
CENPN,125061,True,1079.0,1.2247428070835265,2.4408171614989067,1.1546394822338084,0.0
CENPU,106866,True,754.0,1.0107280290973137,2.0685968973427715,1.2628270972900089,0.0
CENPW,147235,True,680.0,2.0094621308370066,5.5769838442264,1.3011468071141294,0.0
CENPX,181057,True,1007.0,3.2529824287817566,10.59579705253243,1.1698216029352257,0.0
CEP128,30933,True,1175.0,0.17369867034816788,0.22463769300554942,1.1363470739210457,0.0
CEP170,99945,True,1123.0,0.7820545161837754,1.3440675263520974,1.1462275476485786,0.0
CEP55,47904,True,533.0,0.325730299458324,0.5579118343364261,1.4040295121954118,0.0
CFD,5009,True,1048.0,0.025239993211849908,0.031207765667189934,1.160279440964041,0.0
CGAS,68143,False,,0.41389369206566157,0.5056104924551894,0.9585363183979247,1.0
CHAC1,7720,True,785.0,0.04106372146569003,0.054660253830815256,1.2447254811172075,0.0
CHAF1A,60198,True,1453.0,0.38305347502832215,0.5277668992664095,1.094964075812281,0.0
